rank_by_mean,player_id,biome,mean_rating,sd_rating
26,90_15858;96_10440;97_12622;98_15536;99_20567,airborne.1,1012.3093418356437,0.6697660245330802
27,90_672;96_8404;97_10116;98_12422;99_36540,airborne.1,1011.8417440485293,0.7554192113482583
28,90_15911;96_15306;97_29447;98_37588;99_52426,airborne.1,1011.369482182585,0.6603608064344058
29,90_3;96_735;97_858;98_6709;99_9129,airborne.1,1011.298240710011,0.6718151573508525
30,90_943;96_4456;97_5423;98_6849;99_51642,airborne.1,1011.2972226333283,0.7833469821636343
31,90_185;96_2735;97_7732;98_9506;99_12609,airborne.1,1011.2938358115965,1.0943660567234075
32,90_15963;96_304;97_1393;98_6576;99_8978,airborne.1,1011.0684500056325,0.8186317920540463
33,90_23;96_3372;97_4141;98_9508;99_20432,airborne.1,1011.0113291842819,0.6821172243339003
34,90_10;96_611;97_714;98_833;99_1060,airborne.1,1010.3628869233328,0.6214109184783622
35,90_16320;96_10603;97_12819;98_15769;99_20869,airborne.1,1010.3247018836664,0.6373989744295872
36,90_73;96_4112;97_5037;98_6421;99_8775,airborne.1,1009.980570928974,0.6880934052781097
37,90_15911;96_6519;97_7822;98_9618;99_12746,airborne.1,1009.7399649960249,0.6052495257237173
38,90_34;96_8551;97_33544;98_43137;99_60770,airborne.1,1009.5032030149192,0.5492812120567581
39,90_129;96_9249;97_11122;98_13672;99_18102,airborne.1,1009.2814803315756,0.6254032911491157
40,90_10;96_1541;97_1839;98_2257;99_2921,airborne.1,1008.9047774889019,0.8288114212716425
41,90_80;96_53315;97_68738;98_92090;99_138259,airborne.1,1008.8994491414692,0.5445406491028271
42,90_672;96_8081;97_9726;98_11950;99_37425,airborne.1,1008.6644040859412,0.582207283165675
43,90_12;96_173;97_187;98_381;99_1264,airborne.1,1008.6078246289231,1.1068157397170546
44,90_3;96_2995;97_3682;98_4662;99_6293,airborne.1,1008.3829569043855,0.7065108233783503
45,90_29;96_18615;97_23030;98_29039;99_39725,airborne.1,1008.3212787931388,0.6097784051580297
46,90_1545;96_22097;97_27595;98_35164;99_48854,airborne.1,1008.2647776837762,0.5346958891956956
47,90_8;96_11;97_459;98_1490;99_1891,airborne.1,1008.1632887988042,1.0687296041703496
48,90_1;96_431;97_492;98_563;99_701,airborne.1,1008.050284885203,0.8878020128158485
49,90_775;96_6177;97_7423;98_9147;99_12169,airborne.1,1008.0013571610631,0.5917342657981791
50,90_521;96_2636;97_3228;98_4055;99_5432,airborne.1,1007.6473122275511,0.4927523612696837
51,90_3;96_15623;97_19140;98_23885;99_32199,airborne.1,1007.5949382299843,0.5790682571260437
52,90_10;96_101;97_108;98_117;99_132,airborne.1,1007.5562375808732,0.6263464497062116
53,90_284;96_5917;97_7121;98_8795;99_11727,airborne.1,1007.3523411553181,0.5752414873154921
54,90_10;96_1764;97_2112;98_2592;99_3384,airborne.1,1007.1259169800014,1.0559755924956011
55,90_46;96_506;97_581;98_668;99_840,airborne.1,1007.0221672805568,0.5034232425210554
56,90_15792;96_4205;97_8957;98_10983;99_14496,airborne.1,1006.9965613805705,0.5402931381412543
57,90_15355;96_3957;97_4868;98_6233;99_8531,airborne.1,1006.8529681659527,1.1123337574357546
58,90_12;96_173;97_36560;98_47313;99_67112,airborne.1,1006.8058590714237,0.8896395769700576
59,90_3;96_2904;97_3572;98_80000;99_118615,airborne.1,1006.7936547541474,0.6133387932563489
60,90_9;96_424;97_481;98_13945;99_18473,airborne.1,1006.7628984347127,0.8502580150931209
61,90_672;96_3638;97_4470;98_5736;99_7851,airborne.1,1006.5961274461705,0.49935555781195184
62,90_15775;96_1498;97_1787;98_2184;99_2816,airborne.1,1006.4884750999429,0.6584114067580991
63,90_559;96_13441;97_16358;98_20274;99_27062,airborne.1,1006.4879933456069,0.5133887667051553
64,90_27;96_1072;97_1252;98_1504;99_1916,airborne.1,1006.4762491234887,0.872747404670218
65,90_3;96_8045;97_9682;98_79608;99_117941,airborne.1,1006.4192830578331,0.5718610014960299
66,90_80;96_62341;97_80790;98_109354;99_166598,airborne.1,1006.4014793195331,0.5533281923591287
67,90_16;96_29849;97_81368;98_110170;99_167901,airborne.1,1006.3928547821672,0.46254896516761795
68,90_140;96_3341;97_4098;98_5240;99_10961,airborne.1,1006.1122220432784,0.626787390813574
69,90_592;96_6575;97_7883;98_9689;99_20867,airborne.1,1006.11155442103,0.4713648351168193
70,90_2905;96_18110;97_22337;98_28096;99_38291,airborne.1,1006.0734017512063,0.4823309112285777
71,90_10;96_1164;97_1368;98_1659;99_4082,airborne.1,1006.038312165797,0.6991152051200894
72,90_3493;96_67280;97_87401;98_118793;99_182296,airborne.1,1005.9399186166927,0.4433956011037203
73,90_129;96_9249;97_11122;98_13672;99_18096,airborne.1,1005.9328159673295,0.4500221369290038
74,90_10057;96_43668;97_55903;98_74005;99_108987,airborne.1,1005.7083836340593,0.47281136825173425
75,90_3;96_15708;97_19246;98_24030;99_32448,airborne.1,1005.6823677751371,0.44302218854369263
76,90_2512;96_11065;97_21625;98_27142;99_39474,airborne.1,1005.6782680364782,0.44493021765730106
77,90_112;96_12401;97_15061;98_18640;99_24786,airborne.1,1005.5865634053763,0.4259049248390641
78,90_145;96_10842;97_13130;98_16157;99_21420,airborne.1,1005.5814209462314,0.49080220558459753
79,90_1413;96_6053;97_7278;98_8980;99_17908,airborne.1,1005.5481952720663,0.4592411443804
80,90_1248;96_18427;97_22776;98_28693;99_39202,airborne.1,1005.5239479091887,0.44424416690093166
81,90_3;96_12840;97_15583;98_19292;99_25652,airborne.1,1005.5016178739997,0.49889989257401635
82,90_9;96_424;97_1160;98_1384;99_1750,airborne.1,1005.3626550551296,0.6262326266499836
83,90_15779;96_8079;97_9722;98_11944;99_15838,airborne.1,1005.2608027705389,0.46676050834847943
84,90_20;96_1278;97_1518;98_1848;99_2373,airborne.1,1005.2238750022003,0.5887798102547266
85,90_6645;96_29259;97_36885;98_47732;99_67729,airborne.1,1005.2128543357819,0.4171594199942969
86,90_150;96_6589;97_7899;98_9706;99_12852,airborne.1,1005.183602238067,0.4524961775095867
87,90_46;96_146;97_157;98_175;99_1415,airborne.1,1005.1471956627413,0.4083184228148814
88,90_3;96_67194;97_87284;98_118631;99_182024,airborne.1,1004.980356703456,0.54910312341828
89,90_86;96_9270;97_61162;98_81356;99_120786,airborne.1,1004.9419688412727,0.4351889238000906
90,90_15364;96_6599;97_7909;98_9716;99_12862,airborne.1,1004.933160877166,0.43449044988671326
91,90_27;96_12833;97_15576;98_19285;99_119283,airborne.1,1004.880426611117,0.4796312516782747
92,90_13732;96_59896;97_77571;98_104765;99_159169,airborne.1,1004.8676965133434,0.973026507342258
93,90_861;96_4204;97_5144;98_6542;99_8943,airborne.1,1004.8543103701766,0.4723002478767137
